,from,to,total,jury,public
0,al,md,1,0,1
1,al,pt,1,1,0
2,am,gb,1,0,1
3,at,ch,1,1,0
4,au,ee,1,1,0
5,az,fr,1,1,0
6,be,au,1,1,0
7,ch,no,1,1,0
8,ch,pl,1,0,1
9,cy,am,1,0,1
10,cz,au,1,1,0
11,cz,fi,1,0,1
12,de,ro,1,1,0
13,ee,es,1,0,1
14,es,ch,1,1,0
15,es,pl,1,0,1
16,fi,am,1,1,0
17,fi,fr,1,0,1
18,fr,ro,1,0,1
19,ge,fr,1,1,0
20,gr,fr,1,0,1
21,hr,ch,1,1,0
22,hr,fr,1,0,1
23,ie,is,1,1,0
24,is,rs,1,0,1
25,it,fi,1,1,0
26,it,pt,1,0,1
27,lt,rs,1,1,0
28,lv,fi,1,0,1
29,md,az,1,1,0
30,me,az,1,1,0
31,mk,ch,1,1,0
32,mk,lt,1,0,1
33,mt,fi,1,0,1
34,mt,gr,1,1,0
35,nl,ee,1,0,1
36,no,ch,1,1,0
37,pt,am,1,1,0
38,ro,fr,1,0,1
39,rs,gb,1,1,0
40,se,be,1,1,0
41,se,nl,1,0,1
42,sm,ch,1,1,0
43,sm,ro,1,0,1
44,ua,cz,1,1,0
45,ua,es,1,0,1
46,al,be,2,2,0
47,al,fi,2,0,2
48,am,lt,2,0,2
49,at,de,2,0,2
50,au,az,2,2,0
51,au,lt,2,0,2
52,az,au,2,0,2
53,be,cz,2,2,0
54,ch,de,2,0,2
55,cy,be,2,2,0
56,cy,lt,2,0,2
57,de,ch,2,2,0
58,dk,ch,2,2,0
59,ee,de,2,0,2
60,es,gr,2,2,0
61,fi,it,2,2,0
62,fi,lt,2,0,2
63,fr,cz,2,2,0
64,gb,ch,2,2,0
65,gb,rs,2,1,1
66,ge,fi,2,0,2
67,ge,pl,2,2,0
68,gr,cz,2,2,0
69,hr,ee,2,0,2
70,hr,nl,2,2,0
71,ie,au,2,2,0
72,ie,ro,2,0,2
73,il,cz,2,2,0
74,is,cz,2,2,0
75,it,au,2,2,0
76,lt,is,2,2,0
77,lt,no,2,0,2
78,lv,au,2,2,0
79,lv,rs,2,0,2
80,md,fr,2,0,2
81,md,pt,2,2,0
82,me,lt,2,2,0
83,me,no,2,0,2
84,mk,no,2,0,2
85,mk,pl,2,2,0
86,mt,az,2,2,0
87,no,ee,2,0,2
88,pl,gr,2,2,0
89,pl,lt,2,0,2
90,pt,ch,2,2,0
91,pt,no,2,0,2
92,ro,gr,2,2,0
93,ro,no,2,0,2
94,rs,fr,2,0,2
95,se,am,2,2,0
96,si,gb,2,2,0
97,sm,no,2,0,2
98,ua,am,2,2,0
99,ua,no,2,0,2
100,al,az,3,3,0
101,al,rs,3,0,3
102,at,es,3,2,1
103,au,pl,3,0,3
104,az,pl,3,2,1
105,be,az,3,3,0
106,bg,az,3,3,0
107,bg,it,3,1,2
108,bg,no,3,2,1
109,cy,pl,3,0,3
110,cz,gr,3,3,0
111,de,it,3,0,3
112,dk,ee,3,0,3
113,dk,is,3,1,2
114,ee,az,3,3,0
115,es,no,3,0,3
116,fi,az,3,3,0
117,fi,es,3,0,3
118,fr,gr,3,3,0
119,fr,it,3,0,3
120,gb,pt,3,3,0
121,gb,ro,3,0,3
122,ge,az,3,0,3
123,gr,pt,3,3,0
124,hr,gr,3,3,0
125,il,nl,3,1,2
126,is,lt,3,1,2
127,it,ch,3,3,0
128,it,pl,3,0,3
129,lv,ch,3,3,0
130,me,ee,3,0,3
131,me,nl,3,3,0
132,mk,be,3,3,0
133,mk,ee,3,0,3
134,mt,cz,3,3,0
135,mt,ro,3,0,3
136,nl,rs,3,0,3
137,nl,se,3,1,2
138,no,rs,3,0,3
139,pl,nl,3,3,0
140,pt,it,3,0,3
141,ro,nl,3,3,0
142,rs,cz,3,3,0
143,se,lt,3,0,3
144,si,no,3,0,3
145,si,pt,3,3,0
146,ua,au,3,3,0
147,al,am,4,4,0
148,am,nl,4,4,0
149,at,gr,4,4,0
150,at,pl,4,0,4
151,au,cz,4,4,0
152,au,it,4,3,1
153,au,md,4,0,4
154,az,nl,4,4,0
155,bg,pt,4,4,0
156,bg,ro,4,0,4
157,ch,au,4,4,0
158,ch,md,4,0,4
159,cy,ro,4,0,4
160,de,no,4,3,1
161,dk,pl,4,0,4
162,ee,nl,4,1,3
163,ee,no,4,0,4
164,es,pt,4,0,4
165,fr,nl,4,4,0
166,gb,gr,4,4,0
167,ge,gr,4,3,1
168,ge,nl,4,4,0
169,gr,nl,4,4,0
170,gr,se,4,0,4
171,ie,no,4,0,4
172,ie,pt,4,4,0
173,il,be,4,4,0
174,il,no,4,0,4
175,is,pl,4,0,4
176,it,no,4,0,4
177,lv,es,4,0,4
178,lv,nl,4,4,0
179,md,lt,4,0,4
180,me,pl,4,0,4
181,mk,az,4,4,0
182,mt,no,4,0,4
183,no,am,4,4,0
184,no,md,4,0,4
185,pl,it,4,4,0
186,pl,no,4,0,4
187,pt,gr,4,4,0
188,rs,it,4,0,4
189,sm,md,4,0,4
190,sm,pl,4,4,0
191,ua,fi,4,0,4
192,ua,se,4,4,0
193,al,ee,5,0,5
194,am,gr,5,2,3
195,au,be,5,5,0
196,cy,se,5,5,0
197,cz,no,5,2,3
198,cz,pt,5,5,0
199,de,au,5,5,0
200,dk,es,5,4,1
201,dk,md,5,0,5
202,es,be,5,5,0
203,fi,md,5,0,5
204,fi,nl,5,5,0
205,ge,lt,5,0,5
206,gr,gb,5,0,5
207,hr,no,5,0,5
208,il,au,5,5,0
209,is,pt,5,5,0
210,it,se,5,0,5
211,lt,md,5,0,5
212,md,be,5,4,1
213,me,gb,5,5,0
214,mk,au,5,5,0
215,mk,cz,5,0,5
216,mt,ee,5,5,0
217,no,nl,5,5,0
218,no,pl,5,0,5
219,pl,ch,5,5,0
220,pl,rs,5,0,5
221,ro,ch,5,5,0
222,ro,ee,5,0,5
223,rs,lt,5,2,3
224,rs,ro,5,0,5
225,se,cz,5,5,0
226,se,pl,5,0,5
227,si,ch,5,5,0
228,si,es,5,1,4
229,si,se,5,0,5
230,ua,az,5,5,0
231,ua,ee,5,0,5
232,am,md,6,1,5
233,am,rs,6,0,6
234,at,am,6,6,0
235,at,it,6,3,3
236,au,pt,6,6,0
237,az,gr,6,3,3
238,az,rs,6,0,6
239,be,pt,6,5,1
240,be,rs,6,4,2
241,bg,be,6,6,0
242,cy,it,6,1,5
243,cz,ch,6,6,0
244,de,az,6,6,0
245,ee,gr,6,6,0
246,ee,md,6,0,6
247,fi,gr,6,6,0
248,fr,be,6,6,0
249,gb,au,6,6,0
250,gb,no,6,0,6
251,gr,no,6,0,6
252,ie,it,6,6,0
253,ie,rs,6,5,1
254,il,md,6,0,6
255,is,es,6,3,3
256,is,it,6,6,0
257,is,md,6,0,6
258,lv,pt,6,6,0
259,md,au,6,6,0
260,md,no,6,0,6
261,mt,au,6,6,0
262,mt,pl,6,4,2
263,mt,rs,6,0,6
264,nl,pl,6,0,6
265,pl,au,6,6,0
266,pt,is,6,6,0
267,pt,lt,6,5,1
268,ro,au,6,6,0
269,rs,fi,6,6,0
270,rs,se,6,5,1
271,sm,au,6,6,0
272,ua,ch,6,6,0
273,ua,md,6,0,6
274,am,fr,7,7,0
275,at,md,7,0,7
276,au,gb,7,0,7
277,az,no,7,0,7
278,az,pt,7,7,0
279,be,pl,7,0,7
280,bg,ch,7,7,0
281,bg,md,7,0,7
282,cz,pl,7,0,7
283,de,rs,7,0,7
284,ee,pt,7,7,0
285,es,md,7,0,7
286,fr,pt,7,1,6
287,gb,az,7,7,0
288,gb,ee,7,5,2
289,gb,lt,7,0,7
290,ge,pt,7,7,0
291,ge,rs,7,0,7
292,ie,cz,7,7,0
293,ie,md,7,0,7
294,il,pl,7,6,1
295,il,rs,7,0,7
296,it,be,7,7,0
297,lt,ch,7,7,0
298,lt,it,7,4,3
299,lt,nl,7,6,1
300,lv,gr,7,7,0
301,lv,md,7,0,7
302,md,ch,7,7,0
303,me,md,7,0,7
304,mk,md,7,0,7
305,nl,au,7,7,0
306,pl,es,7,1,6
307,pl,md,7,0,7
308,pt,se,7,0,7
309,ro,pt,7,7,0
310,ro,rs,7,0,7
311,rs,pt,7,7,0
312,rs,ua,7,0,7
313,se,az,7,7,0
