Eurovision Song Contest 2 16 Grand Final,Eurovision Song Contest 2 16 Grand Final,,,,,
Year,(semi-) final,Edition,Jury or Televoting,From country,To country,Points
2 17,f,2 17f,T,Albania,Armenia,0
2 17,f,2 17f,T,Albania,Australia,0
2 17,f,2 17f,T,Albania,Austria,0
2 17,f,2 17f,T,Albania,Azerbaijan,0
2 17,f,2 17f,T,Albania,Belarus,0
2 17,f,2 17f,T,Albania,Belgium,5
2 17,f,2 17f,T,Albania,Bulgaria,1
2 17,f,2 17f,T,Albania,Croatia,7
2 17,f,2 17f,T,Albania,Cyprus,0
2 17,f,2 17f,T,Albania,Denmark,0
2 17,f,2 17f,T,Albania,France,1
2 17,f,2 17f,T,Albania,Germany,0
2 17,f,2 17f,T,Albania,Greece,3
2 17,f,2 17f,T,Albania,Hungary,6
2 17,f,2 17f,T,Albania,Israel,0
2 17,f,2 17f,T,Albania,Italy,12
2 17,f,2 17f,T,Albania,Moldova,0
2 17,f,2 17f,T,Albania,Norway,0
2 17,f,2 17f,T,Albania,Poland,0
2 17,f,2 17f,T,Albania,Portugal,8
2 17,f,2 17f,T,Albania,Romania,4
2 17,f,2 17f,T,Albania,Spain,0
2 17,f,2 17f,T,Albania,Sweden,2
2 17,f,2 17f,T,Albania,Netherlands,0
2 17,f,2 17f,T,Albania,Ukraine,0
2 17,f,2 17f,T,Albania,United Kingdom,0
2 17,f,2 17f,T,Armenia,Australia,0
2 17,f,2 17f,T,Armenia,Austria,0
2 17,f,2 17f,T,Armenia,Azerbaijan,0
2 17,f,2 17f,T,Armenia,Belarus,0
2 17,f,2 17f,T,Armenia,Belgium,5
2 17,f,2 17f,T,Armenia,Bulgaria,7
2 17,f,2 17f,T,Armenia,Croatia,0
2 17,f,2 17f,T,Armenia,Cyprus,12
2 17,f,2 17f,T,Armenia,Denmark,0
2 17,f,2 17f,T,Armenia,France,8
2 17,f,2 17f,T,Armenia,Germany,0
2 17,f,2 17f,T,Armenia,Greece,1
2 17,f,2 17f,T,Armenia,Hungary,0
2 17,f,2 17f,T,Armenia,Israel,0
2 17,f,2 17f,T,Armenia,Italy,4
2 17,f,2 17f,T,Armenia,Moldova,6
2 17,f,2 17f,T,Armenia,Norway,0
2 17,f,2 17f,T,Armenia,Poland,0
2 17,f,2 17f,T,Armenia,Portugal,1
2 17,f,2 17f,T,Armenia,Romania,2
2 17,f,2 17f,T,Armenia,Spain,0
2 17,f,2 17f,T,Armenia,Sweden,3
2 17,f,2 17f,T,Armenia,Netherlands,0
2 17,f,2 17f,T,Armenia,Ukraine,0
2 17,f,2 17f,T,Armenia,United Kingdom,0
2 17,f,2 17f,T,Australia,Armenia,0
2 17,f,2 17f,T,Australia,Austria,0
2 17,f,2 17f,T,Australia,Azerbaijan,0
2 17,f,2 17f,T,Australia,Belarus,0
2 17,f,2 17f,T,Australia,Belgium,4
2 17,f,2 17f,T,Australia,Bulgaria,5
2 17,f,2 17f,T,Australia,Croatia,1
2 17,f,2 17f,T,Australia,Cyprus,0
2 17,f,2 17f,T,Australia,Denmark,8
2 17,f,2 17f,T,Australia,France,0
2 17,f,2 17f,T,Australia,Germany,0
2 17,f,2 17f,T,Australia,Greece,0
2 17,f,2 17f,T,Australia,Hungary,0
2 17,f,2 17f,T,Australia,Israel,0
2 17,f,2 17f,T,Australia,Italy,2
2 17,f,2 17f,T,Australia,Moldova,12
2 17,f,2 17f,T,Australia,Norway,0
2 17,f,2 17f,T,Australia,Poland,0
2 17,f,2 17f,T,Australia,Portugal,7
2 17,f,2 17f,T,Australia,Romania,1
2 17,f,2 17f,T,Australia,Spain,0
2 17,f,2 17f,T,Australia,Sweden,6
2 17,f,2 17f,T,Australia,Netherlands,0
2 17,f,2 17f,T,Australia,Ukraine,0
2 17,f,2 17f,T,Australia,United Kingdom,3
2 17,f,2 17f,T,Austria,Armenia,0
2 17,f,2 17f,T,Austria,Australia,0
2 17,f,2 17f,T,Austria,Azerbaijan,0
2 17,f,2 17f,T,Austria,Belarus,0
2 17,f,2 17f,T,Austria,Belgium,8
2 17,f,2 17f,T,Austria,Bulgaria,7
2 17,f,2 17f,T,Austria,Croatia,4
2 17,f,2 17f,T,Austria,Cyprus,0
2 17,f,2 17f,T,Austria,Denmark,0
2 17,f,2 17f,T,Austria,France,0
2 17,f,2 17f,T,Austria,Germany,0
2 17,f,2 17f,T,Austria,Greece,0
2 17,f,2 17f,T,Austria,Hungary,5
2 17,f,2 17f,T,Austria,Israel,0
2 17,f,2 17f,T,Austria,Italy,6
2 17,f,2 17f,T,Austria,Moldova,3
2 17,f,2 17f,T,Austria,Norway,0
2 17,f,2 17f,T,Austria,Poland,2
2 17,f,2 17f,T,Austria,Portugal,12
2 17,f,2 17f,T,Austria,Romania,1
2 17,f,2 17f,T,Austria,Spain,0
2 17,f,2 17f,T,Austria,Sweden,1
2 17,f,2 17f,T,Austria,Netherlands,0
2 17,f,2 17f,T,Austria,Ukraine,0
2 17,f,2 17f,T,Austria,United Kingdom,0
2 17,f,2 17f,T,Azerbaijan,Armenia,0
2 17,f,2 17f,T,Azerbaijan,Australia,0
2 17,f,2 17f,T,Azerbaijan,Austria,0
2 17,f,2 17f,T,Azerbaijan,Belarus,0
2 17,f,2 17f,T,Azerbaijan,Belgium,4
2 17,f,2 17f,T,Azerbaijan,Bulgaria,12
2 17,f,2 17f,T,Azerbaijan,Croatia,0
2 17,f,2 17f,T,Azerbaijan,Cyprus,0
2 17,f,2 17f,T,Azerbaijan,Denmark,0
2 17,f,2 17f,T,Azerbaijan,France,5
2 17,f,2 17f,T,Azerbaijan,Germany,0
2 17,f,2 17f,T,Azerbaijan,Greece,0
2 17,f,2 17f,T,Azerbaijan,Hungary,7
2 17,f,2 17f,T,Azerbaijan,Israel,1
2 17,f,2 17f,T,Azerbaijan,Italy,6
2 17,f,2 17f,T,Azerbaijan,Moldova,1
2 17,f,2 17f,T,Azerbaijan,Norway,0
2 17,f,2 17f,T,Azerbaijan,Poland,0
2 17,f,2 17f,T,Azerbaijan,Portugal,8
2 17,f,2 17f,T,Azerbaijan,Romania,2
2 17,f,2 17f,T,Azerbaijan,Spain,0
2 17,f,2 17f,T,Azerbaijan,Sweden,3
2 17,f,2 17f,T,Azerbaijan,Netherlands,0
2 17,f,2 17f,T,Azerbaijan,Ukraine,0
2 17,f,2 17f,T,Azerbaijan,United Kingdom,0
2 17,f,2 17f,T,Belarus,Armenia,0
2 17,f,2 17f,T,Belarus,Australia,0
2 17,f,2 17f,T,Belarus,Austria,0
2 17,f,2 17f,T,Belarus,Azerbaijan,0
2 17,f,2 17f,T,Belarus,Belgium,6
2 17,f,2 17f,T,Belarus,Bulgaria,12
2 17,f,2 17f,T,Belarus,Croatia,0
2 17,f,2 17f,T,Belarus,Cyprus,0
2 17,f,2 17f,T,Belarus,Denmark,0
2 17,f,2 17f,T,Belarus,France,4
2 17,f,2 17f,T,Belarus,Germany,0
2 17,f,2 17f,T,Belarus,Greece,0
2 17,f,2 17f,T,Belarus,Hungary,8
2 17,f,2 17f,T,Belarus,Israel,0
2 17,f,2 17f,T,Belarus,Italy,0
2 17,f,2 17f,T,Belarus,Moldova,1
2 17,f,2 17f,T,Belarus,Norway,5
2 17,f,2 17f,T,Belarus,Poland,0
2 17,f,2 17f,T,Belarus,Portugal,7
2 17,f,2 17f,T,Belarus,Romania,2
2 17,f,2 17f,T,Belarus,Spain,0
2 17,f,2 17f,T,Belarus,Sweden,3
2 17,f,2 17f,T,Belarus,Netherlands,0
2 17,f,2 17f,T,Belarus,Ukraine,1
2 17,f,2 17f,T,Belarus,United Kingdom,0
2 17,f,2 17f,T,Belgium,Armenia,0
2 17,f,2 17f,T,Belgium,Australia,0
2 17,f,2 17f,T,Belgium,Austria,0
2 17,f,2 17f,T,Belgium,Azerbaijan,0
2 17,f,2 17f,T,Belgium,Belarus,0
2 17,f,2 17f,T,Belgium,Bulgaria,8
2 17,f,2 17f,T,Belgium,Croatia,0
2 17,f,2 17f,T,Belgium,Cyprus,0
2 17,f,2 17f,T,Belgium,Denmark,0
2 17,f,2 17f,T,Belgium,France,3
2 17,f,2 17f,T,Belgium,Germany,0
2 17,f,2 17f,T,Belgium,Greece,0
2 17,f,2 17f,T,Belgium,Hungary,1
2 17,f,2 17f,T,Belgium,Israel,0
2 17,f,2 17f,T,Belgium,Italy,5
2 17,f,2 17f,T,Belgium,Moldova,7
2 17,f,2 17f,T,Belgium,Norway,0
2 17,f,2 17f,T,Belgium,Poland,4
2 17,f,2 17f,T,Belgium,Portugal,12
2 17,f,2 17f,T,Belgium,Romania,6
2 17,f,2 17f,T,Belgium,Spain,0
2 17,f,2 17f,T,Belgium,Sweden,2
2 17,f,2 17f,T,Belgium,Netherlands,1
2 17,f,2 17f,T,Belgium,Ukraine,0
2 17,f,2 17f,T,Belgium,United Kingdom,0
2 17,f,2 17f,T,Bulgaria,Armenia,0
2 17,f,2 17f,T,Bulgaria,Australia,0
2 17,f,2 17f,T,Bulgaria,Austria,0
2 17,f,2 17f,T,Bulgaria,Azerbaijan,0
2 17,f,2 17f,T,Bulgaria,Belarus,0
2 17,f,2 17f,T,Bulgaria,Belgium,4
2 17,f,2 17f,T,Bulgaria,Croatia,1
2 17,f,2 17f,T,Bulgaria,Cyprus,3
2 17,f,2 17f,T,Bulgaria,Denmark,0
2 17,f,2 17f,T,Bulgaria,France,12
2 17,f,2 17f,T,Bulgaria,Germany,0
2 17,f,2 17f,T,Bulgaria,Greece,5
2 17,f,2 17f,T,Bulgaria,Hungary,6
2 17,f,2 17f,T,Bulgaria,Israel,0
2 17,f,2 17f,T,Bulgaria,Italy,0
2 17,f,2 17f,T,Bulgaria,Moldova,1
2 17,f,2 17f,T,Bulgaria,Norway,0
2 17,f,2 17f,T,Bulgaria,Poland,0
2 17,f,2 17f,T,Bulgaria,Portugal,7
2 17,f,2 17f,T,Bulgaria,Romania,8
2 17,f,2 17f,T,Bulgaria,Spain,0
2 17,f,2 17f,T,Bulgaria,Sweden,2
2 17,f,2 17f,T,Bulgaria,Netherlands,0
2 17,f,2 17f,T,Bulgaria,Ukraine,0
2 17,f,2 17f,T,Bulgaria,United Kingdom,0
2 17,f,2 17f,T,Croatia,Armenia,0
2 17,f,2 17f,T,Croatia,Australia,0
2 17,f,2 17f,T,Croatia,Austria,0
2 17,f,2 17f,T,Croatia,Azerbaijan,0
2 17,f,2 17f,T,Croatia,Belarus,0
2 17,f,2 17f,T,Croatia,Belgium,5
2 17,f,2 17f,T,Croatia,Bulgaria,8
2 17,f,2 17f,T,Croatia,Cyprus,0
2 17,f,2 17f,T,Croatia,Denmark,0
2 17,f,2 17f,T,Croatia,France,3
2 17,f,2 17f,T,Croatia,Germany,0
2 17,f,2 17f,T,Croatia,Greece,0
2 17,f,2 17f,T,Croatia,Hungary,12
2 17,f,2 17f,T,Croatia,Israel,0
2 17,f,2 17f,T,Croatia,Italy,7
2 17,f,2 17f,T,Croatia,Moldova,4
2 17,f,2 17f,T,Croatia,Norway,0
2 17,f,2 17f,T,Croatia,Poland,0
2 17,f,2 17f,T,Croatia,Portugal,1
2 17,f,2 17f,T,Croatia,Romania,6
2 17,f,2 17f,T,Croatia,Spain,0
2 17,f,2 17f,T,Croatia,Sweden,2
2 17,f,2 17f,T,Croatia,Netherlands,1
2 17,f,2 17f,T,Croatia,Ukraine,0
2 17,f,2 17f,T,Croatia,United Kingdom,0
2 17,f,2 17f,T,Cyprus,Armenia,1
2 17,f,2 17f,T,Cyprus,Australia,0
2 17,f,2 17f,T,Cyprus,Austria,0
2 17,f,2 17f,T,Cyprus,Azerbaijan,0
2 17,f,2 17f,T,Cyprus,Belarus,0
2 17,f,2 17f,T,Cyprus,Belgium,2
2 17,f,2 17f,T,Cyprus,Bulgaria,1
2 17,f,2 17f,T,Cyprus,Croatia,0
2 17,f,2 17f,T,Cyprus,Denmark,0
2 17,f,2 17f,T,Cyprus,France,3
2 17,f,2 17f,T,Cyprus,Germany,0
2 17,f,2 17f,T,Cyprus,Greece,12
2 17,f,2 17f,T,Cyprus,Hungary,0
2 17,f,2 17f,T,Cyprus,Israel,0
2 17,f,2 17f,T,Cyprus,Italy,8
2 17,f,2 17f,T,Cyprus,Moldova,6
2 17,f,2 17f,T,Cyprus,Norway,0
2 17,f,2 17f,T,Cyprus,Poland,0
2 17,f,2 17f,T,Cyprus,Portugal,7
2 17,f,2 17f,T,Cyprus,Romania,4
2 17,f,2 17f,T,Cyprus,Spain,0
2 17,f,2 17f,T,Cyprus,Sweden,5
2 17,f,2 17f,T,Cyprus,Netherlands,0
2 17,f,2 17f,T,Cyprus,Ukraine,0
2 17,f,2 17f,T,Cyprus,United Kingdom,0
2 17,f,2 17f,T,Czech Republic,Armenia,2
2 17,f,2 17f,T,Czech Republic,Australia,0
2 17,f,2 17f,T,Czech Republic,Austria,0
2 17,f,2 17f,T,Czech Republic,Azerbaijan,1
2 17,f,2 17f,T,Czech Republic,Belarus,3
2 17,f,2 17f,T,Czech Republic,Belgium,4
2 17,f,2 17f,T,Czech Republic,Bulgaria,12
2 17,f,2 17f,T,Czech Republic,Croatia,0
2 17,f,2 17f,T,Czech Republic,Cyprus,0
2 17,f,2 17f,T,Czech Republic,Denmark,0
2 17,f,2 17f,T,Czech Republic,France,0
2 17,f,2 17f,T,Czech Republic,Germany,0
2 17,f,2 17f,T,Czech Republic,Greece,0
2 17,f,2 17f,T,Czech Republic,Hungary,0
2 17,f,2 17f,T,Czech Republic,Israel,0
2 17,f,2 17f,T,Czech Republic,Italy,1
2 17,f,2 17f,T,Czech Republic,Moldova,5
2 17,f,2 17f,T,Czech Republic,Norway,0
2 17,f,2 17f,T,Czech Republic,Poland,0
2 17,f,2 17f,T,Czech Republic,Portugal,8
2 17,f,2 17f,T,Czech Republic,Romania,6
2 17,f,2 17f,T,Czech Republic,Spain,0
2 17,f,2 17f,T,Czech Republic,Sweden,0
2 17,f,2 17f,T,Czech Republic,Netherlands,0
2 17,f,2 17f,T,Czech Republic,Ukraine,7
2 17,f,2 17f,T,Czech Republic,United Kingdom,0
2 17,f,2 17f,T,Denmark,Armenia,0
2 17,f,2 17f,T,Denmark,Australia,2
2 17,f,2 17f,T,Denmark,Austria,0
2 17,f,2 17f,T,Denmark,Azerbaijan,0
2 17,f,2 17f,T,Denmark,Belarus,0
2 17,f,2 17f,T,Denmark,Belgium,6
2 17,f,2 17f,T,Denmark,Bulgaria,1
2 17,f,2 17f,T,Denmark,Croatia,0
2 17,f,2 17f,T,Denmark,Cyprus,0
