ESC 2019,,,,,,
Year,(semi-) final,Edition,Jury or Televoting,From country,To country,Points
2019,f,2019f,T,Malta,Italy,12
2019,f,2019f,T,Malta,Spain,0
2019,f,2019f,T,Malta,Israel,0
2019,f,2019f,T,Malta,United Kingdom,0
2019,f,2019f,T,Malta,Australia,3
2019,f,2019f,T,Malta,Russia,4
2019,f,2019f,T,Malta,Switzerland,8
2019,f,2019f,T,Malta,Norway,7
2019,f,2019f,T,Malta,Sweden,6
2019,f,2019f,T,Malta,Azerbaijan,2
2019,f,2019f,T,Malta,Macedonia,5
2019,f,2019f,T,Malta,Iceland,0
2019,f,2019f,T,Malta,Czech Republic,0
2019,f,2019f,T,Malta,Denmark,0
2019,f,2019f,T,Malta,Slovenia,0
2019,f,2019f,T,Malta,France,0
2019,f,2019f,T,Malta,Cyprus,0
2019,f,2019f,T,Malta,Serbia,0
2019,f,2019f,T,Malta,Albania,0
2019,f,2019f,T,Malta,Estonia,0
2019,f,2019f,T,Malta,San Marino,0
2019,f,2019f,T,Malta,Greece,0
2019,f,2019f,T,Malta,Germany,0
2019,f,2019f,T,Malta,Belarus,0
2019,f,2019f,T,Malta,Netherlands,1
2019,f,2019f,T,Albania,Italy,8
2019,f,2019f,T,Albania,Spain,0
2019,f,2019f,T,Albania,Israel,0
2019,f,2019f,T,Albania,United Kingdom,0
2019,f,2019f,T,Albania,Australia,0
2019,f,2019f,T,Albania,Russia,12
2019,f,2019f,T,Albania,Switzerland,4
2019,f,2019f,T,Albania,Norway,5
2019,f,2019f,T,Albania,Sweden,0
2019,f,2019f,T,Albania,Azerbaijan,3
2019,f,2019f,T,Albania,Macedonia,6
2019,f,2019f,T,Albania,Iceland,0
2019,f,2019f,T,Albania,Czech Republic,0
2019,f,2019f,T,Albania,Denmark,0
2019,f,2019f,T,Albania,Slovenia,0
2019,f,2019f,T,Albania,France,0
2019,f,2019f,T,Albania,Cyprus,0
2019,f,2019f,T,Albania,Malta,0
2019,f,2019f,T,Albania,Serbia,0
2019,f,2019f,T,Albania,Estonia,0
2019,f,2019f,T,Albania,San Marino,1
2019,f,2019f,T,Albania,Greece,2
2019,f,2019f,T,Albania,Germany,0
2019,f,2019f,T,Albania,Belarus,0
2019,f,2019f,T,Albania,Netherlands,7
2019,f,2019f,T,Czech Republic,Italy,2
2019,f,2019f,T,Czech Republic,Spain,0
2019,f,2019f,T,Czech Republic,Israel,3
2019,f,2019f,T,Czech Republic,United Kingdom,0
2019,f,2019f,T,Czech Republic,Australia,8
2019,f,2019f,T,Czech Republic,Russia,12
2019,f,2019f,T,Czech Republic,Switzerland,5
2019,f,2019f,T,Czech Republic,Norway,1
2019,f,2019f,T,Czech Republic,Sweden,0
2019,f,2019f,T,Czech Republic,Azerbaijan,7
2019,f,2019f,T,Czech Republic,Macedonia,0
2019,f,2019f,T,Czech Republic,Iceland,6
2019,f,2019f,T,Czech Republic,Denmark,0
2019,f,2019f,T,Czech Republic,Slovenia,0
2019,f,2019f,T,Czech Republic,France,0
2019,f,2019f,T,Czech Republic,Cyprus,0
2019,f,2019f,T,Czech Republic,Malta,0
2019,f,2019f,T,Czech Republic,Serbia,0
2019,f,2019f,T,Czech Republic,Albania,0
2019,f,2019f,T,Czech Republic,Estonia,0
2019,f,2019f,T,Czech Republic,San Marino,0
2019,f,2019f,T,Czech Republic,Greece,0
