,FromCountry,ToCountry,MeanPoints
1511,Serbia,Montenegro,12.0
1034,Macedonia,Albania,12.0
1408,Russia,Belarus,12.0
1429,Russia,Moldova,12.0
378,Croatia,Serbia,12.0
1148,Moldova,Romania,12.0
340,Bulgaria,Russia,12.0
305,Bosnia Herzegovina,Serbia,12.0
1388,Romania,Moldova,12.0
234,Belarus,Russia,12.0
193,Azerbaijan,Russia,12.0
1016,Lithuania,Latvia,12.0
1697,The Netherands,Germany,12.0
1192,Montenegro,Serbia,12.0
1228,Netherlands,Portugal,12.0
715,Greece,Cyprus,11.6
73,Armenia,Russia,11.333333333333334
21,Albania,Italy,11.333333333333334
554,Finland,Estonia,11.333333333333334
1098,Malta,Italy,11.166666666666666
1517,Serbia,Russia,11.0
852,Ireland,Lithuania,10.75
458,Czech Republic,Ukraine,10.75
1005,Lithuania,Estonia,10.666666666666666
1263,Norway,Lithuania,10.5
1558,Slovenia,Serbia,10.5
497,Denmark,Sweden,10.333333333333334
1681,Switzerland,Serbia,10.25
1149,Moldova,Russia,10.0
290,Bosnia Herzegovina,Croatia,10.0
67,Armenia,Montenegro,10.0
1531,Slovenia,Croatia,10.0
1318,Poland,Switzerland,10.0
400,Cyprus,Greece,10.0
1778,United Kingdom,Lithuania,10.0
975,Latvia,Lithuania,9.75
851,Ireland,Latvia,9.5
738,Greece,Russia,9.333333333333334
613,France,Portugal,9.333333333333334
391,Cyprus,Bulgaria,9.25
625,Georgia,Armenia,9.25
1503,Serbia,Hungary,9.2
628,Georgia,Azerbaijan,9.0
55,Armenia,Georgia,9.0
1467,San Marino,Latvia,9.0
1166,Montenegro,Croatia,9.0
1041,Macedonia,Bulgaria,9.0
950,Italy,Ukraine,9.0
453,Czech Republic,Russia,9.0
1404,Russia,Armenia,8.666666666666666
270,Belgium,Netherlands,8.6
1319,Poland,Ukraine,8.6
241,Belarus,Ukraine,8.6
1550,Slovenia,Montenegro,8.5
318,Bulgaria,Cyprus,8.5
49,Armenia,Cyprus,8.4
533,Estonia,Russia,8.333333333333334
1205,Netherlands,Belgium,8.333333333333334
1442,Russia,Ukraine,8.25
584,France,Armenia,8.25
799,Iceland,Denmark,8.0
1463,San Marino,Iceland,8.0
339,Bulgaria,Romania,8.0
697,Germany,Russia,8.0
880,Israel,Czech Republic,8.0
1616,Sweden,Denmark,8.0
1693,The Netherands,Denmark,8.0
911,Italy,Albania,8.0
100,Australia,Ireland,8.0
129,Austria,Czech Republic,8.0
589,France,Belgium,8.0
1739,Ukraine,Moldova,8.0
1746,Ukraine,Russia,8.0
287,Bosnia Herzegovina,Azerbaijan,8.0
377,Croatia,Russia,8.0
1347,Portugal,Moldova,8.0
1061,Macedonia,Montenegro,8.0
1761,United Kingdom,Bulgaria,8.0
984,Latvia,Russia,8.0
524,Estonia,Lithuania,7.75
181,Azerbaijan,Israel,7.6
113,Australia,Russia,7.5
1303,Poland,Latvia,7.5
415,Cyprus,Russia,7.5
87,Australia,Belgium,7.333333333333333
106,Australia,Moldova,7.333333333333333
1108,Malta,Russia,7.333333333333333
977,Latvia,Moldova,7.333333333333333
1611,Sweden,Belgium,7.333333333333333
663,Georgia,Ukraine,7.2
200,Azerbaijan,Ukraine,7.2
825,Iceland,Sweden,7.166666666666667
308,Bosnia Herzegovina,Ukraine,7.0
1701,The Netherands,Italy,7.0
902,Israel,Russia,7.0
379,Croatia,Slovenia,7.0
1718,Ukraine,Belarus,7.0
1359,Portugal,Switzerland,7.0
466,Denmark,Belgium,7.0
1518,Serbia,Slovenia,7.0
684,Germany,Ireland,7.0
930,Italy,Iceland,7.0
601,France,Iceland,7.0
656,Georgia,Russia,7.0
19,Albania,Ireland,7.0
404,Cyprus,Italy,6.8
1596,Spain,Romania,6.666666666666667
901,Israel,Romania,6.666666666666667
753,Hungary,Belgium,6.666666666666667
1067,Macedonia,Russia,6.666666666666667
523,Estonia,Latvia,6.5
1357,Portugal,Spain,6.4
1634,Sweden,Norway,6.4
488,Denmark,Norway,6.4
579,Finland,Sweden,6.333333333333333
1276,Norway,Sweden,6.333333333333333
608,France,Moldova,6.333333333333333
882,Israel,Estonia,6.333333333333333
1407,Russia,Azerbaijan,6.333333333333333
426,Czech Republic,Azerbaijan,6.333333333333333
507,Estonia,Belgium,6.333333333333333
1586,Spain,Italy,6.166666666666667
943,Italy,Russia,6.0
1692,The Netherands,Czech Republic,6.0
1734,Ukraine,Israel,6.0
1728,Ukraine,Georgia,6.0
1353,Portugal,Russia,6.0
1193,Montenegro,Slovenia,6.0
26,Albania,Montenegro,6.0
603,France,Israel,6.0
1368,Romania,Belgium,6.0
105,Australia,Malta,6.0
1618,Sweden,Finland,6.0
1218,Netherlands,Iceland,6.0
1258,Norway,Iceland,6.0
1078,Malta,Australia,6.0
1069,Macedonia,Serbia,6.0
376,Croatia,Romania,6.0
304,Bosnia Herzegovina,Russia,6.0
1400,Romania,Switzerland,6.0
1384,Romania,Italy,6.0
1235,Netherlands,Sweden,6.0
1597,Spain,Russia,6.0
1369,Romania,Bulgaria,6.0
758,Hungary,Denmark,6.0
