,0,1,2,3,4,5,Sum,Count,Bias,From country,To country
0,1.0,,-1.0,1.0,1.0,,2.0,4,0.5,Albania,Germany
1,1.0,,-1.0,-1.0,-1.0,,-2.0,4,-0.5,Armenia,Germany
2,-1.0,,1.0,1.0,1.0,,2.0,4,0.5,Austria,Germany
3,-1.0,,-1.0,-1.0,-1.0,,-4.0,4,-1.0,Azerbaijan,Germany
4,-1.0,,-1.0,-1.0,-1.0,,-4.0,4,-1.0,Belarus,Germany
5,-1.0,,-1.0,-1.0,-1.0,,-4.0,4,-1.0,Belgium,Germany
6,-1.0,,-1.0,1.0,1.0,,0.0,4,0.0,Denmark,Germany
7,-1.0,,-1.0,-1.0,-1.0,,-4.0,4,-1.0,Estonia,Germany
8,-1.0,,-1.0,-1.0,-1.0,,-4.0,4,-1.0,Macedonia,Germany
9,-1.0,,-1.0,-1.0,-1.0,,-4.0,4,-1.0,Finland,Germany
10,-1.0,,-1.0,-1.0,-1.0,,-4.0,4,-1.0,France,Germany
11,1.0,,-1.0,-1.0,-1.0,,-2.0,4,-0.5,Georgia,Germany
12,-1.0,,-1.0,-1.0,-1.0,,-4.0,4,-1.0,Greece,Germany
13,-1.0,,-1.0,-1.0,-1.0,,-4.0,4,-1.0,Hungary,Germany
14,-1.0,,-1.0,1.0,1.0,,0.0,4,0.0,Iceland,Germany
15,-1.0,,-1.0,1.0,1.0,,0.0,4,0.0,Ireland,Germany
16,-1.0,,-1.0,-1.0,-1.0,,-4.0,4,-1.0,Israel,Germany
17,-1.0,,-1.0,-1.0,-1.0,,-4.0,4,-1.0,Italy,Germany
18,-1.0,,-1.0,-1.0,-1.0,,-4.0,4,-1.0,Latvia,Germany
19,-1.0,,-1.0,-1.0,-1.0,,-4.0,4,-1.0,Lithuania,Germany
20,-1.0,,-1.0,1.0,1.0,,0.0,4,0.0,Malta,Germany
21,-1.0,,-1.0,1.0,1.0,,0.0,4,0.0,Moldova,Germany
22,-1.0,,-1.0,-1.0,-1.0,,-4.0,4,-1.0,Montenegro,Germany
23,-1.0,,-1.0,1.0,1.0,,0.0,4,0.0,Norway,Germany
24,1.0,,-1.0,-1.0,-1.0,,-2.0,4,-0.5,Poland,Germany
25,-1.0,,-1.0,-1.0,-1.0,,-4.0,4,-1.0,Russia,Germany
26,-1.0,,-1.0,1.0,1.0,,0.0,4,0.0,San Marino,Germany
27,1.0,,-1.0,1.0,1.0,,2.0,4,0.5,Slovenia,Germany
28,-1.0,,-1.0,1.0,1.0,,0.0,4,0.0,Spain,Germany
29,-1.0,,-1.0,1.0,1.0,,0.0,4,0.0,Sweden,Germany
30,1.0,,1.0,1.0,1.0,,4.0,4,1.0,Switzerland,Germany
31,-1.0,,-1.0,-1.0,-1.0,,-4.0,4,-1.0,United Kingdom,Germany
32,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-4.0,6,-0.6666666666666666,Albania,Sweden
33,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Armenia,Sweden
34,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-4.0,6,-0.6666666666666666,Austria,Sweden
35,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-2.0,6,-0.3333333333333333,Azerbaijan,Sweden
36,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-4.0,6,-0.6666666666666666,Belarus,Sweden
37,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,6,-0.3333333333333333,Belgium,Sweden
38,1.0,1.0,1.0,1.0,1.0,-1.0,4.0,6,0.6666666666666666,Denmark,Sweden
39,1.0,1.0,1.0,-1.0,-1.0,1.0,2.0,6,0.3333333333333333,Estonia,Sweden
40,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Macedonia,Sweden
41,1.0,1.0,1.0,-1.0,-1.0,1.0,2.0,6,0.3333333333333333,Finland,Sweden
42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,France,Sweden
43,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-4.0,6,-0.6666666666666666,Georgia,Sweden
44,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-2.0,6,-0.3333333333333333,Germany,Sweden
45,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Greece,Sweden
46,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,6,0.0,Hungary,Sweden
47,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6,1.0,Iceland,Sweden
48,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-4.0,6,-0.6666666666666666,Ireland,Sweden
49,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,6,-0.3333333333333333,Israel,Sweden
50,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-4.0,6,-0.6666666666666666,Italy,Sweden
51,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,6,0.0,Latvia,Sweden
52,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6,1.0,Lithuania,Sweden
53,1.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,6,0.0,Malta,Sweden
54,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Moldova,Sweden
55,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-2.0,6,-0.3333333333333333,Montenegro,Sweden
56,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6,1.0,Norway,Sweden
57,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-2.0,6,-0.3333333333333333,Poland,Sweden
58,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-2.0,6,-0.3333333333333333,Russia,Sweden
59,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-2.0,6,-0.3333333333333333,San Marino,Sweden
60,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,6,0.0,Slovenia,Sweden
61,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-2.0,6,-0.3333333333333333,Spain,Sweden
62,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-2.0,6,-0.3333333333333333,Switzerland,Sweden
63,1.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,6,0.0,United Kingdom,Sweden
64,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-2.0,6,-0.3333333333333333,Albania,France
65,-1.0,1.0,1.0,1.0,1.0,1.0,4.0,6,0.6666666666666666,Armenia,France
66,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Austria,France
67,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-4.0,6,-0.6666666666666666,Azerbaijan,France
68,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Belarus,France
69,-1.0,-1.0,1.0,1.0,1.0,1.0,2.0,6,0.3333333333333333,Belgium,France
70,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Denmark,France
71,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Estonia,France
72,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Macedonia,France
73,1.0,-1.0,1.0,1.0,1.0,-1.0,2.0,6,0.3333333333333333,Finland,France
74,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-2.0,6,-0.3333333333333333,Georgia,France
75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Germany,France
76,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-4.0,6,-0.6666666666666666,Greece,France
77,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Hungary,France
78,-1.0,-1.0,1.0,1.0,1.0,-1.0,0.0,6,0.0,Iceland,France
79,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Ireland,France
80,-1.0,-1.0,1.0,1.0,1.0,1.0,2.0,6,0.3333333333333333,Israel,France
81,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-2.0,6,-0.3333333333333333,Italy,France
82,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Latvia,France
83,-1.0,-1.0,1.0,1.0,1.0,-1.0,0.0,6,0.0,Lithuania,France
84,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Malta,France
85,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-4.0,6,-0.6666666666666666,Moldova,France
86,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Montenegro,France
87,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Norway,France
88,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-2.0,6,-0.3333333333333333,Poland,France
89,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-4.0,6,-0.6666666666666666,Russia,France
90,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-4.0,6,-0.6666666666666666,San Marino,France
91,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Slovenia,France
92,-1.0,-1.0,1.0,1.0,1.0,1.0,2.0,6,0.3333333333333333,Spain,France
