,name,communityId,intermediateCommunityIds
0,Australia,8,
1,Austria,8,
2,Belgium,8,
3,Denmark,8,
4,Estonia,8,
5,Finland,8,
6,France,8,
7,Germany,8,
8,Hungary,8,
9,Iceland,8,
10,Ireland,8,
11,Latvia,8,
12,Netherlands,8,
13,Norway,8,
14,Poland,8,
15,Slovakia,8,
16,Sweden,8,
17,Switzerland,8,
18,United Kingdom,8,
19,Israel,9,
20,Moldova,9,
21,Portugal,9,
22,Romania,9,
23,Spain,9,
24,Albania,13,
25,Bosnia Herzegovina,13,
26,Croatia,13,
27,Cyprus,13,
28,Greece,13,
29,Italy,13,
30,Macedonia,13,
31,Montenegro,13,
32,San Marino,13,
33,Serbia,13,
34,Slovenia,13,
35,Armenia,27,
36,Azerbaijan,27,
37,Belarus,27,
38,Bulgaria,27,
39,CzechRepublic,27,
40,Georgia,27,
41,Lithuania,27,
42,Malta,27,
43,Russia,27,
44,Turkey,27,
45,Ukraine,27,
