"Country or Area","Year","Area","Sex","Language","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Albania","2011","Total","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2013","2800138",""
"Albania","2011","Total","Both Sexes","Albanian","Census - de jure - complete tabulation","Final figure, complete","2013","2765610",""
"Albania","2011","Total","Both Sexes","Aromanian","Census - de jure - complete tabulation","Final figure, complete","2013","3848",""
"Albania","2011","Total","Both Sexes","Greek","Census - de jure - complete tabulation","Final figure, complete","2013","15196",""
"Albania","2011","Total","Both Sexes","Romani (Gypsy)","Census - de jure - complete tabulation","Final figure, complete","2013","4025",""
"Albania","2011","Total","Both Sexes","Italian","Census - de jure - complete tabulation","Final figure, complete","2013","523",""
"Albania","2011","Total","Both Sexes","Macedonian","Census - de jure - complete tabulation","Final figure, complete","2013","4443",""
"Albania","2011","Total","Both Sexes","Not stated","Census - de jure - complete tabulation","Final figure, complete","2013","3843",""
"Albania","2011","Total","Both Sexes","Turkish","Census - de jure - complete tabulation","Final figure, complete","2013","714",""
"Albania","2011","Total","Both Sexes","Other","Census - de jure - complete tabulation","Final figure, complete","2013","1870",""
"Albania","2011","Total","Both Sexes","Serbo-Croatian","Census - de jure - complete tabulation","Final figure, complete","2013","66",""
"Armenia","2011","Total","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2013","3018854",""
"Armenia","2011","Total","Both Sexes","Armenian","Census - de jure - complete tabulation","Final figure, complete","2013","2956615",""
"Armenia","2011","Total","Both Sexes","Russian","Census - de jure - complete tabulation","Final figure, complete","2013","23484",""
"Armenia","2011","Total","Both Sexes","Ukrainian","Census - de jure - complete tabulation","Final figure, complete","2013","733",""
"Armenia","2011","Total","Both Sexes","Other","Census - de jure - complete tabulation","Final figure, complete","2013","7020",""
"Armenia","2011","Total","Both Sexes","Ezidian","Census - de jure - complete tabulation","Final figure, complete","2013","30973",""
"Armenia","2011","Total","Male","Total","Census - de jure - complete tabulation","Final figure, complete","2013","1448052",""
