,Country_1,Country_2,LangSim
0,Bosnia Herzegovina,Serbia,95
1,Bosnia Herzegovina,Croatia,95
2,Bosnia Herzegovina,Slovenia,30
3,Bosnia Herzegovina,Poland,12
4,Bosnia Herzegovina,Slovakia,18
5,Bosnia Herzegovina,CzechRepublic,17
6,Bosnia Herzegovina,Ukraine,17
7,Bosnia Herzegovina,Russia,16
8,Bosnia Herzegovina,Macedonia,33
9,Bosnia Herzegovina,Bulgaria,21
10,Bosnia Herzegovina,Belarus,14
11,Bosnia Herzegovina,Mongolian,15
12,Bosnia Herzegovina,Occitan,-1
13,Bosnia Herzegovina,Catalan,-1
14,Bosnia Herzegovina,Galician,-1
15,Bosnia Herzegovina,Spain,-1
16,Bosnia Herzegovina,Interlingua,-1
17,Bosnia Herzegovina,Aragonese,-1
18,Bosnia Herzegovina,Portugal,-1
19,Bosnia Herzegovina,San Marino,-1
20,Bosnia Herzegovina,Australia,-1
21,Bosnia Herzegovina,Esperanto,-1
22,Bosnia Herzegovina,Afrikaans,-1
23,Bosnia Herzegovina,Belgium,-1
24,Bosnia Herzegovina,France,-1
25,Bosnia Herzegovina,Welsh,-1
26,Bosnia Herzegovina,Albania,18
27,Bosnia Herzegovina,Basque,-1
28,Bosnia Herzegovina,Romania,-1
29,Bosnia Herzegovina,Tagalog,12
30,Bosnia Herzegovina,Vietnamese,-1
31,Bosnia Herzegovina,Estonia,10
32,Bosnia Herzegovina,Swahili,11
33,Bosnia Herzegovina,Armenia,-1
34,Bosnia Herzegovina,Latvia,14
35,Bosnia Herzegovina,Swizerland,-1
36,Bosnia Herzegovina,Turkey,-1
37,Bosnia Herzegovina,Korean,-1
38,Bosnia Herzegovina,Latin,-1
39,Bosnia Herzegovina,Azerbaijan,12
40,Bosnia Herzegovina,Lithuania,10
41,Bosnia Herzegovina,Malta,13
42,Bosnia Herzegovina,Zulu,-1
43,Bosnia Herzegovina,Breton,-1
44,Bosnia Herzegovina,Hungary,-1
45,Bosnia Herzegovina,Luxembourg,-1
46,Bosnia Herzegovina,Finland,-1
47,Bosnia Herzegovina,Georgia,-1
48,Bosnia Herzegovina,Cyprus,-1
49,Bosnia Herzegovina,Yiddish,-1
50,Bosnia Herzegovina,Igbo,-1
51,Bosnia Herzegovina,Maori,-1
52,Bosnia Herzegovina,Yoruba,-1
53,Bosnia Herzegovina,Haitian Creole,10
54,Bosnia Herzegovina,Manx,-1
55,Bosnia Herzegovina,Gaelic,-1
56,Bosnia Herzegovina,Ireland,-1
57,Bosnia Herzegovina,Hindi,-1
58,Bosnia Herzegovina,Sinhala,-1
59,Bosnia Herzegovina,Nepali,-1
60,Bosnia Herzegovina,Marathi,-1
61,Bosnia Herzegovina,Gujarati,-1
62,Bosnia Herzegovina,Sanskrit,-1
63,Bosnia Herzegovina,Punjabi,-1
64,Bosnia Herzegovina,Bengali,-1
65,Bosnia Herzegovina,Kannada,-1
66,Bosnia Herzegovina,Telugu,-1
67,Bosnia Herzegovina,Tamil,-1
68,Bosnia Herzegovina,Khmer,-1
69,Bosnia Herzegovina,Burmese,-1
70,Bosnia Herzegovina,Denmark,-1
71,Bosnia Herzegovina,Norwegian Nynorsk,-1
72,Bosnia Herzegovina,Sweden,-1
73,Bosnia Herzegovina,Faroese,-1
74,Bosnia Herzegovina,Iceland,-1
75,Bosnia Herzegovina,Indonesian,-1
76,Bosnia Herzegovina,Malay,-1
77,Bosnia Herzegovina,Javanese,10
78,Bosnia Herzegovina,Somali,-1
79,Bosnia Herzegovina,Hausa,-1
80,Bosnia Herzegovina,Persian,-1
81,Bosnia Herzegovina,Urdu,-1
82,Bosnia Herzegovina,Arabic,-1
83,Bosnia Herzegovina,Israel,-1
84,Bosnia Herzegovina,Norwegian Bokmål,-1
85,Bosnia Herzegovina,Northern Sami,-1
86,Bosnia Herzegovina,Tatar,-1
87,Bosnia Herzegovina,Kazakh,-1
88,Bosnia Herzegovina,Mandarin Chinese,-1
89,Bosnia Herzegovina,Japanese,-1
90,Bosnia Herzegovina,Thai,-1
91,Bosnia Herzegovina,Lao,-1
92,Serbia,Serbia,100
93,Serbia,Croatia,55
94,Serbia,Slovenia,64
95,Serbia,Poland,40
96,Serbia,Slovakia,29
97,Serbia,CzechRepublic,28
98,Serbia,Ukraine,40
99,Serbia,Russia,31
100,Serbia,Macedonia,31
101,Serbia,Bulgaria,29
102,Serbia,Belarus,35
103,Serbia,Mongolian,44
104,Serbia,Occitan,-1
105,Serbia,Catalan,-1
106,Serbia,Galician,6
107,Serbia,Spain,-1
108,Serbia,Interlingua,15
109,Serbia,Aragonese,-1
110,Serbia,Portugal,6
111,Serbia,San Marino,-1
112,Serbia,Australia,7
113,Serbia,Esperanto,-1
114,Serbia,Afrikaans,7
115,Serbia,Belgium,9
116,Serbia,France,-1
117,Serbia,Welsh,13
118,Serbia,Albania,36
119,Serbia,Basque,16
120,Serbia,Romania,10
121,Serbia,Tagalog,21
122,Serbia,Vietnamese,21
123,Serbia,Estonia,31
124,Serbia,Swahili,31
125,Serbia,Armenia,30
126,Serbia,Latvia,30
127,Serbia,Swizerland,13
128,Serbia,Turkey,28
129,Serbia,Korean,21
130,Serbia,Latin,-1
131,Serbia,Azerbaijan,21
132,Serbia,Lithuania,24
133,Serbia,Malta,24
134,Serbia,Zulu,-1
135,Serbia,Breton,-1
136,Serbia,Hungary,22
137,Serbia,Luxembourg,10
138,Serbia,Finland,13
139,Serbia,Georgia,19
140,Serbia,Cyprus,17
141,Serbia,Yiddish,10
142,Serbia,Igbo,12
143,Serbia,Maori,6
144,Serbia,Yoruba,15
145,Serbia,Haitian Creole,15
146,Serbia,Manx,-1
147,Serbia,Gaelic,-1
148,Serbia,Ireland,6
149,Serbia,Hindi,-1
150,Serbia,Sinhala,17
151,Serbia,Nepali,-1
152,Serbia,Marathi,-1
153,Serbia,Gujarati,-1
154,Serbia,Sanskrit,-1
155,Serbia,Punjabi,-1
156,Serbia,Bengali,-1
157,Serbia,Kannada,-1
158,Serbia,Telugu,-1
159,Serbia,Tamil,6
160,Serbia,Khmer,-1
161,Serbia,Burmese,-1
162,Serbia,Denmark,-1
163,Serbia,Norwegian Nynorsk,-1
164,Serbia,Sweden,11
165,Serbia,Faroese,12
166,Serbia,Iceland,11
167,Serbia,Indonesian,-1
168,Serbia,Malay,-1
169,Serbia,Javanese,12
170,Serbia,Somali,15
171,Serbia,Hausa,10
172,Serbia,Persian,-1
173,Serbia,Urdu,-1
174,Serbia,Arabic,-1
175,Serbia,Israel,-1
176,Serbia,Norwegian Bokmål,-1
177,Serbia,Northern Sami,-1
178,Serbia,Tatar,-1
179,Serbia,Kazakh,-1
180,Serbia,Mandarin Chinese,-1
181,Serbia,Japanese,-1
182,Serbia,Thai,-1
183,Serbia,Lao,-1
184,Croatia,Serbia,30
185,Croatia,Croatia,100
186,Croatia,Slovenia,11
187,Croatia,Poland,14
188,Croatia,Slovakia,12
189,Croatia,CzechRepublic,12
190,Croatia,Ukraine,12
191,Croatia,Russia,9
192,Croatia,Macedonia,9
193,Croatia,Bulgaria,9
194,Croatia,Belarus,11
195,Croatia,Mongolian,10
196,Croatia,Occitan,-1
197,Croatia,Catalan,-1
198,Croatia,Galician,-1
199,Croatia,Spain,-1
200,Croatia,Interlingua,5
201,Croatia,Aragonese,-1
202,Croatia,Portugal,-1
203,Croatia,San Marino,-1
204,Croatia,Australia,4
205,Croatia,Esperanto,-1
206,Croatia,Afrikaans,-1
207,Croatia,Belgium,-1
208,Croatia,France,-1
209,Croatia,Welsh,-1
210,Croatia,Albania,13
211,Croatia,Basque,7
212,Croatia,Romania,4
213,Croatia,Tagalog,9
214,Croatia,Vietnamese,6
215,Croatia,Estonia,11
216,Croatia,Swahili,10
217,Croatia,Armenia,7
218,Croatia,Latvia,12
219,Croatia,Swizerland,5
220,Croatia,Turkey,8
221,Croatia,Korean,5
222,Croatia,Latin,-1
223,Croatia,Azerbaijan,7
