,From_country,To_country,Value
394,Andorra,Australia,98.908
395,Andorra,Austria,1431.9779999999998
399,Andorra,Belgium,368.382
404,Andorra,Bulgaria,22.904
416,Andorra,Croatia,29.755
417,Andorra,Cyprus,1.105
419,Andorra,Denmark,126.794
424,Andorra,Estonia,19.786
426,Andorra,Finland,597.11
427,Andorra,France,18951.486
431,Andorra,Germany,1881.315
434,Andorra,Greece,708.705
440,Andorra,Hungary,10.587
444,Andorra,Ireland,96.75500000000001
445,Andorra,Israel,228.40800000000002
446,Andorra,Italy,2242.853
453,Andorra,Latvia,1.131
454,Andorra,Lithuania,57.977000000000004
455,Andorra,Luxembourg,90.32900000000001
459,Andorra,Malta,16.499000000000002
467,Andorra,Morocco,66.581
475,Andorra,Norway,5324.934
481,Andorra,Poland,1613.9620000000002
482,Andorra,Portugal,231.217
484,Andorra,Romania,63.760000000000005
494,Andorra,Slovakia,148.838
496,Andorra,Slovenia,199.04500000000002
498,Andorra,Spain,57244.524
501,Andorra,Sweden,56.553
502,Andorra,Switzerland,896.3199999999999
506,Andorra,Turkey,98.145
507,Andorra,Ukraine,2.674
510,Andorra,United Kingdom,550.143
848,Australia,Andorra,54.868
853,Australia,Austria,106781.387
859,Australia,Belgium,936102.6599999999
870,Australia,Bulgaria,18157.394
890,Australia,Croatia,5401.222
892,Australia,Cyprus,5870.138
895,Australia,Denmark,219504.479
903,Australia,Estonia,10321.481
906,Australia,Finland,84852.849
907,Australia,France,1283461.2380000001
913,Australia,Germany,2398999.81
917,Australia,Greece,20045.425
927,Australia,Hungary,61128.475999999995
932,Australia,Ireland,100849.872
933,Australia,Israel,171916.963
934,Australia,Italy,679914.733
947,Australia,Latvia,5960.76
950,Australia,Lithuania,6191.935
951,Australia,Luxembourg,15979.672
958,Australia,Malta,7947.42
967,Australia,Morocco,45329.868
983,Australia,Norway,121582.485
995,Australia,Poland,478066.7810000001
996,Australia,Portugal,46543.231999999996
999,Australia,Romania,64675.859000000004
1014,Australia,Slovakia,7337.789
1016,Australia,Slovenia,101765.454
1020,Australia,Spain,676459.132
1025,Australia,Sweden,298701.482
1026,Australia,Switzerland,1683570.954
1035,Australia,Turkey,2897167.4129999997
1040,Australia,Ukraine,49254.34099999999
1043,Australia,United Kingdom,4892294.316
1058,Austria,Andorra,7898.8820000000005
1063,Austria,Australia,1333528.281
1069,Austria,Belgium,1963155.774
1080,Austria,Bulgaria,773044.565
1100,Austria,Croatia,1846263.266
1102,Austria,Cyprus,59776.675
1105,Austria,Denmark,837247.801
1113,Austria,Estonia,164430.302
1116,Austria,Finland,681499.377
1117,Austria,France,7733497.501
1124,Austria,Germany,44881818.377
1127,Austria,Greece,533658.457
1137,Austria,Hungary,5888842.499
1142,Austria,Ireland,355303.122
1143,Austria,Israel,551109.69
1144,Austria,Italy,9977338.038
1158,Austria,Latvia,146651.142
1161,Austria,Lithuania,333907.239
1162,Austria,Luxembourg,180843.093
1169,Austria,Malta,48164.24
1178,Austria,Morocco,208477.495
1195,Austria,Norway,607863.058
1205,Austria,Poland,4676613.347
1206,Austria,Portugal,472531.642
1210,Austria,Romania,2651960.997
1227,Austria,Slovakia,3217528.72
1229,Austria,Slovenia,3078838.538
1233,Austria,Spain,2648100.326
1238,Austria,Sweden,1863692.5
1239,Austria,Switzerland,8045943.413
1248,Austria,Turkey,1546650.94
1253,Austria,Ukraine,498993.957
1256,Austria,United Kingdom,4519938.081
1824,Belgium,Andorra,10402.678
1829,Belgium,Australia,1630393.776
1830,Belgium,Austria,2560949.824
1847,Belgium,Bulgaria,697671.814
1868,Belgium,Croatia,528473.147
1870,Belgium,Cyprus,230755.86800000002
1873,Belgium,Denmark,2802876.956
1881,Belgium,Estonia,297257.447
1884,Belgium,Finland,1420422.295
