Country,Eligible population,Total English speakers,Total English speakers,As first language,As first language,As an additional language[1],As an additional language[1],Notes
Country,Eligible population,No.,%,No.,%,No.,%,Notes
United States,"331,002,651 (2020)","316,107,532 (2020)",95.5,"258,513,070 (2020)",78.1,"57,594,462",17.4,"Figures are from the 2011–2015 American Community Survey 5-year estimates by the U.S. Census Bureau for persons age 5 and older. Total English speakers are those who either spoke English at home (i.e. as first language), or reported speaking another language at home but could speak English ""very well"" or ""well"" (i.e. as an additional language).[2]"
India,"1,368,737,436 (2011)","194,086,968 (2012)",14.18 (2012),"821,245",0.06,"166,438,472",12.16,"2001 Census figures for population and first, second, and third languages. English as a first language is only spoken by 821,245 people, as a second language by 105,455,385, and as a third language by 60,983,087.[3][4]"
Pakistan,"208,800,150 (2020)","19,094,773  (2020)",9.1,"302,760",0.145,"18,792,013",9,Official language.[5][6][7][8][9][10]
Nigeria,"206,200,000 (2020)","178,198,040 (2020)",86.42,"37,157,240",18.02,"141,040,800",68.4,English is the most widespread language in the country due to the many different languages spoken. English is the first or second language for most citizens.[citation needed] Note this includes speakers of an English creole.
Philippines,"110,000,000","64,025,890",58.2,"36,935",0.04,"63,988,955",63.72,"Total population:  Census 2010.  Proportion of total speakers: Census 2000, text above Figure 7. 63.71% of the then 66.7 million people aged 5 years or more could speak English.[11] Proportion of native speakers:  Census 1995, as quoted by Andrew Gonzalez in ""The Language Planning Situation in the Philippines"", Journal of Multilingual and Multicultural Development, 19 (5&6), 487–525, p. 492:  .04% of the then 68.4 million people were native speakers of English. (1998).[12] ""Six out of 10 people aged 5 and over can speak English (63.71%).""[13]"
United Kingdom,"64,000,000","62,912,000",98.3,"59,072,000",92.3,"3,840,000",6,"Source: Data from the 2011 census for England and Wales.[14] Additional English speaker figures are for usual residents aged 3 years and over with a main language other than English who can speak English ""very well"" or ""well""."
Germany,"80,600,000","45,400,000",56,"392,000",0.47,"45,100,000",56,"Native speakers: Mikrozensus 2020, Statistisches Bundesamt.[15]Non-native speakers: Eurobarometer report 2012Does not include foreign military personnel based in Germany."
Canada,"37,138,500","30,480,750",83.06,"20,193,335",54.37,"10,287,415",28.69,"Source: [1].  The 2016 count reported that 23,757,525 people were able to conduct a conversation in English only, while 6,216,065 were able to converse in both English and French. The census also asked for the first language learned at home in childhood and still understood by the individual: 52% or 19,460,850 reported English as their only mother tongue, 165,320 reported both English and French as mother tongues, 533,265 reported English and a non-official language as mother tongues, and  33,900 reported English, French and a non-official language as mother tongues. The data also show that 26,007,500 Canadians report English as their first official language spoken."
France,"65,350,000","23,000,000",39,,,"23,000,000",39,Source: Eurobarometer report 2012
Australia,"23,401,892","21,715,910",92.8,"17,020,421",72.74,"4,695,489",20.06,"Source: 2016 Census.[16] The 2016 census data is subject to multiple interpretations.  The data noted that 17,020,421 persons out of 23,401,892 total only spoke English, and a further 4,695,489 spoke English either ""Very Well"", ""Well"" or ""Not Well"". A further 193,036 person were listed as speaking English ""Not At All"". However, 1,492,941 persons provided incomplete information; 1,440,493 provided no language or proficiency details and 52,448 gave no information on proficiency."
Uruguay,"3,500,000","840,000",24,,,"840,000",24,Source: 2019 National Statistics Institute poll.[17]
Bangladesh,"165,323,100 (2020)","19,838,772 (2020)",12,"709,873",0.43,"16,398,158",9.9,[18]
Italy,"59,619,290","17,000,000",34,,,"17,000,000",34,Source: Eurobarometer report 2012
