
Country 1	Country 2	Index
value	Round of ESS
used
UK	Ireland	0,914	2.
Luxembourg	Spain	0,906	2.
Germany	Luxembourg	0,882	2.
Italy	Turkey	0,873	2.
Belgium	Luxembourg	0,870	2.
Finland	Luxembourg	0,868	2.
Ireland	Spain	0,866	2.
Belgium	Spain	0,863	2.
UK	Spain	0,862	2.
Latvia	Russia	0,859	4.
Germany	Switzerland	0,850	2.
Germany	Austria	0,846	2.
Belgium	Switzerland	0,841	2.
Greek	Cyprus	0,838	4.
Netherlands	Sweden	0,831	2.
UK	Luxembourg	0,830	2.
Belgium	Austria	0,829	2.
Germany	Spain	0,822	2.
Luxembourg	Austria	0,819	2.
Belgium	Germany	0,813	2.
UK	Israel	0,810	1.
Belgium	France	0,809	2.
Belgium	UK	0,807	2.
Greek	Italy	0,807	2.
Ireland	Cyprus	0,805	3.
Israel	Portugal	0,803	1.
Greek	Turkey	0,802	2.
France	Luxembourg	0,802	2.
Poland	Slovakia	0,802	2.
Portugal	Spain	0,801	2.
Ireland	Luxembourg	0,801	2.
Russia	Ukraine	0,801	3.
Austria	Spain	0,797	2.
Ireland	Israel	0,796	1.
UK	Austria	0,795	2.
Luxembourg	Netherlands	0,795	2.
Austria	Switzerland	0,793	2.
Slovenia	Spain	0,791	2.
Russia	Slovakia	0,790	3.
Ireland	Slovakia	0,790	2.
Slovakia	Czech Republik	0,790	2.
Luxembourg	Switzerland	0,789	2.
Greek	Russia	0,788	4.
Russia	Czech Republik	0,787	4.
Greek	Ireland	0,786	2.
Portugal	Slovenia	0,780	2.
Spain	Czech Republik	0,778	2.
Germany	Croatia	0,777	4.
Croatia	Portugal	0,776	4.
Finland	Netherlands	0,775	2.
Croatia	Russia	0,775	4.
Romania	Ukraine	0,773	4.
Netherlands	Norway	0,773	2.
UK	Cyprus	0,773	3.
Slovakia	Spain	0,772	2.
Israel	Slovenia	0,770	1.
UK	Croatia	0,770	4.
Romania	Russia	0,769	4.
UK	Sweden	0,769	2.
Belgium	Slovenia	0,769	2.
Croatia	Poland	0,769	4.
Poland	Romania	0,768	4.
Estonia	Finland	0,768	2.
Germany	Finland	0,768	2.
Ireland	Poland	0,767	2.
UK	Netherlands	0,765	2.
Finland	Czech Republik	0,765	2.
Latvia	Hungary	0,764	4.
Belgium	Israel	0,762	1.
Belgium	Ireland	0,758	2.
Romania	Slovakia	0,757	4.
Belgium	Hungary	0,755	2.
Israel	Hungary	0,755	1.
Greek	Croatia	0,754	4.
Belgium	Sweden	0,754	2.
Italy	Slovakia	0,753	2.
Luxembourg	Portugal	0,753	2.
Switzerland	Spain	0,752	2.
Greek	Spain	0,751	2.
Ireland	Netherlands	0,750	2.
Luxembourg	Czech Republik	0,749	2.
Luxembourg	Slovenia	0,749	2.
Finland	Spain	0,748	2.
Israel	Austria	0,748	1.
France	Switzerland	0,746	2.
Estonia	Luxembourg	0,746	2.
Estonia	Russia	0,746	3.
Croatia	Hungary	0,744	4.
Ireland	Croatia	0,744	4
Denmark	Austria	0,743	2.
Slovenia	Hungary	0,743	2.
Belgium	Netherlands	0,743	2.
Czech Republik	Ukraine	0,742	2.
Finland	Norway	0,741	2.
Croatia	Czech Republik	0,741	4.
Portugal	Turkey	0,740	2.
Germany	Iceland	0,739	2.
Poland	Czech Republik	0,738	2.
Israel	Russia	0,738	4.
Italy	Poland	0,738	2.
Israel	Spain	0,737	1.
UK	Slovenia	0,737	2.
Croatia	Latvia	0,737	4.
Austria	Portugal	0,737	2.
France	Spain	0,736	2.
Israel	Sweden	0,736	1.
Belgium	Croatia	0,736	4.
Latvia	Poland	0,736	4.
Ireland	Italy	0,735	2.
Germany	Israel	0,735	1.
Poland	Russia	0,733	3.
UK	Portugal	0,733	2.
Denmark	Netherlands	0,732	2.
Luxembourg	Sweden	0,732	2.
Denmark	Norway	0,730	2.
Italy	Spain	0,729	2.
Greek	Latvia	0,728	4.
Poland	Turkey	0,726	2.
Poland	Spain	0,726	2.
Spain	Cyprus	0,726	3.
Israel	Cyprus	0,725	4.
Ireland	Austria	0,725	2.
Ireland	Slovenia	0,725	2.
Germany	UK	0,725	2.
Ireland	Sweden	0,724	2.
Germany	Estonia	0,724	2.
Romania	Czech Republik	0,723	4.
Norway	Sweden	0,721	2.
Ireland	Czech Republik	0,719	2.
Ireland	Russia	0,718	3.
Estonia	Spain	0,718	2.
Israel	Netherlands	0,718	1.
UK	Hungary	0,718	2.
Finland	UK	0,718	2.
Germany	Portugal	0,717	2.
Slovenia	Turkey	0,716	2.
Portugal	Czech Republik	0,716	2.
Luxembourg	Norway	0,715	2.
UK	Slovakia	0,715	2.
Poland	Ukraine	0,714	2.
Denmark	Germany	0,712	2.
Netherlands	Spain	0,712	2.
Latvia	Czech Republik	0,711	4.
Netherlands	Czech Republik	0,711	2.
Portugal	Russia	0,711	3.
Croatia	Cyprus	0,710	4.
Israel	Croatia	0,710	4.
Sweden	Spain	0,710	2.
Spain	Hungary	0,709	2.
Norway	Czech Republik	0,708	2.
Iceland	Switzerland	0,708	2.
Finland	Sweden	0,707	2.
Israel	Turkey	0,707	4.
Israel	Ukraine	0,707	4.
Italy	Slovenia	0,707	2.
Belgium	Finland	0,706	2.
Estonia	Czech Republik	0,705	2.
Ireland	Portugal	0,704	2.
Croatia	Spain	0,703	4.
Finland	Austria	0,703	2.
Slovakia	Ukraine	0,702	2.
Romania	Turkey	0,702	4.
Netherlands	Austria	0,702	2.
Croatia	Ukraine	0,701	4.
Austria	Slovenia	0,701	2.
Finland	Ireland	0,699	2.
Greek	Poland	0,699	2.
Estonia	Croatia	0,698	4.
Germany	Czech Republik	0,697	2.
UK	Poland	0,697	2.
Belgium	Portugal	0,697	2.
UK	Czech Republik	0,696	2.
Denmark	Luxembourg	0,696	2.
Denmark	Sweden	0,695	2.
Luxembourg	Poland	0,692	2.
Austria	Sweden	0,691	2.
Estonia	Ukraine	0,690	2.
Germany	Netherlands	0,690	2.
UK	Norway	0,690	2.
Denmark	Finland	0,690	2.
Israel	Latvia	0,689	4.
Germany	France	0,689	2.
Germany	Sweden	0,688	2.
Austria	Hungary	0,685	2.
Portugal	Slovakia	0,685	2.
Croatia	Netherlands	0,685	4.
Portugal	Romania	0,683	4.
Austria	Cyprus	0,683	3.
Iceland	Austria	0,683	2.
Finland	Croatia	0,681	4.
Latvia	Ukraine	0,680	4.
Slovakia	Turkey	0,680	2.
Germany	Slovenia	0,679	2.
Denmark	Iceland	0,678	2.
Spain	Turkey	0,677	2.
Germany	Ireland	0,677	2.
Greek	Israel	0,677	1.
Latvia	Slovenia	0,676	4.
Croatia	Slovakia	0,675	4.
Greek	Portugal	0,675	2.
Sweden	Czech Republik	0,674	2.
Belgium	Denmark	0,674	2.
Spain	Ukraine	0,674	2.
Slovakia	Slovenia	0,673	2.
Greek	UK	0,672	2.
Croatia	Slovenia	0,672	4.
Italy	Portugal	0,671	2.
Finland	France	0,671	2.
Luxembourg	Slovakia	0,671	2.
Ireland	Turkey	0,671	2.
UK	Italy	0,670	2.
Ireland	Hungary	0,669	2.
Croatia	Norway	0,669	4.
Austria	Czech Republik	0,669	2.
Israel	Norway	0,669	1.
Switzerland	Slovenia	0,667	2.
Iceland	Luxembourg	0,665	2.
Luxembourg	Hungary	0,663	2.
Poland	Portugal	0,662	2.
France	Sweden	0,662	2.
Greek	Slovenia	0,661	2.
Netherlands	Slovenia	0,661	2.
Italy	Czech Republik	0,661	2.
Germany	Russia	0,660	3.
Finland	Poland	0,658	2.
Denmark	Switzerland	0,658	2.
Italy	Luxembourg	0,658	2.
Portugal	Ukraine	0,657	2.
Latvia	Romania	0,656	4.
Israel	Czech Republik	0,656	1.
Finland	Israel	0,655	1.
Greek	Slovakia	0,655	2.
UK	Russia	0,655	3.
Croatia	Switzerland	0,654	4.
Estonia	Latvia	0,653	4.
Latvia	Slovakia	0,653	4.
Denmark	UK	0,653	2.
Belgium	Cyprus	0,652	3.
Hungary	Cyprus	0,652	3.
Russia	Turkey	0,651	4.
UK	Switzerland	0,650	2.
Greek	Romania	0,649	4.
Israel	Poland	0,648	1.
Slovenia	Czech Republik	0,648	2.
Belgium	Czech Republik	0,648	2.
Austria	Russia	0,648	3.
Norway	Spain	0,647	2.
Czech Republik	Cyprus	0,647	4.
Germany	Norway	0,646	2.
France	Iceland	0,646	2.
Ireland	Norway	0,645	2.
Portugal	Sweden	0,644	2.
Russia	Cyprus	0,644	3.
Estonia	Austria	0,641	2.
Latvia	Portugal	0,640	4.
Finland	Switzerland	0,640	2.
Croatia	Romania	0,639	4.
France	Israel	0,638	1.
Germany	Cyprus	0,638	3.
France	Austria	0,638	2.
Israel	Switzerland	0,638	1.
Latvia	Cyprus	0,638	4.
Slovakia	Cyprus	0,636	3.
Sweden	Slovenia	0,636	2.
Slovenia	Cyprus	0,634	3.
France	Slovenia	0,633	2.
Portugal	Cyprus	0,633	3.
Sweden	Switzerland	0,633	2.
Denmark	Croatia	0,633	4.
Denmark	Czech Republik	0,632	2.
Poland	Slovenia	0,632	2.
Greek	Luxembourg	0,630	2.
Finland	Slovakia	0,629	2.
Estonia	UK	0,629	2.
Netherlands	Slovakia	0,628	2.
Portugal	Switzerland	0,628	2.
France	UK	0,624	2.
Austria	Poland	0,623	2.
Israel	Slovakia	0,621	4.
Netherlands	Poland	0,620	2.
Belgium	Greek	0,620	2.
Luxembourg	Turkey	0,620	2.
Norway	Poland	0,620	2.
Czech Republik	Turkey	0,619	2.
Croatia	Sweden	0,618	4.
Germany	Latvia	0,616	4.
Estonia	Portugal	0,616	2.
Belgium	Iceland	0,616	2.
Netherlands	Portugal	0,616	2.
Russia	Spain	0,615	3.
France	Ireland	0,615	2.
Estonia	Ireland	0,615	2.
Finland	Portugal	0,614	2.
Greek	Hungary	0,614	2.
Ireland	Switzerland	0,613	2.
UK	Turkey	0,613	2.
Germany	Poland	0,613	2.
Norway	Austria	0,612	2.
Norway	Portugal	0,611	2.
Netherlands	Switzerland	0,611	2.
Iceland	Spain	0,611	2.
Estonia	Poland	0,610	2.
Greek	Austria	0,610	2.
Turkey	Ukraine	0,609	2.
Germany	Hungary	0,608	2.
Italy	Ukraine	0,607	2.
Switzerland	Hungary	0,607	2.
